app_name,review_id,date,rating,review_text,thumbs_up,app_version,user_name,developer_reply,reply_date
Chime,8fd34a20-d29c-47c7-9edf-e6e7414539f8,2026-05-25 20:32:48,5,great,0,5.327.0,Larry Simon,,
Chime,116c8b27-a782-4422-a69f-594f8e29ddfd,2026-05-25 19:40:15,1,they let other sellers take money from my account and they didn't deliver how they said they would,0,5.309.0,Antonio Jones,,
Chime,03c75f19-c100-47dd-87c0-390ba2218c0e,2026-05-25 19:30:48,5,great no issues,0,5.325.0,Erin Ditmore,,
Chime,edd909d4-f084-4032-b243-792a868811a0,2026-05-25 19:15:14,1,be careful and be aware of the business you do with chime. I had a situation where my account was debited for $80 I didn't recognize it so I reported it I even asked time for a number to the company that falsely debited my account they told me they couldn't provide a number but I need to provide them with proof that I don't recognize this transaction only thing about it is how am I going to provide you with any information if I don't recognize the transaction.,0,5.327.0,Sheryl Singleton,,
Chime,7b662069-5144-4b81-8e58-9038a51fdd15,2026-05-25 18:07:21,5,Good to mi,0,5.327.0,Larry Preslar,,
Chime,e684b201-cbb3-4d22-89a3-167a0169c1d3,2026-05-25 18:02:40,1,This is a horrible app and service. The app and the balances that it reads are not correct. I wouldn't rely on this if it's an important transaction. You'd be better off with cash app.,0,5.327.0,Glenn Collins,,
Chime,c7e4237f-622e-432d-a5d1-089e201cf971,2026-05-25 17:30:14,3,"Useful app for getting a good overview of your spending and budget. I should warn that if you need to make a large cash purchase, it's nearly impossible to get actual cash. Chime gives a $3,030 ATM limit per day but almost all ATMs have a limit of around $300. I called Chime customer support three times and they recommended that I go to multiple different ATMs and get $300 at each until I reach the daily limit. That's TEN stops to access your saved money. My car broke and now I can't replace it",0,5.327.0,Scott Morris,,
Chime,f7803c7c-8e98-4ef3-aed8-82cd3609a88c,2026-05-25 16:03:40,5,Best ever!!,0,5.327.0,Doreen Clayton,,
Chime,af6c7c49-2a6b-46fe-86b4-3e9bd73a9437,2026-05-25 15:04:18,5,Great,0,5.327.0,Theodis Smith,,
Chime,01fea8f2-b4ea-42b6-b3e0-1de7d6547ae8,2026-05-25 15:03:17,5,I love chime 💝💓🥰😉💯,0,5.327.0,Lisa Vandertuin,,
Chime,392b8cb8-e380-412b-a33a-32f6d31244df,2026-05-25 13:55:49,5,Best banking app ever!!!!!!!! Bills saving budgeting early pay even small loans with very little fees borrow 400 pay back 410. No overdrafts like the other guys. Not enough money in your account chime simply declines the transaction and sends you a message. No more $29 NSF fees per overdrafts. Chime has saved me thousands while helping me build a more stable financial future. Im so happy to be a member and a part of there continued improvement.,0,,Zachary Rapp,,
Chime,6f222dcf-b944-411e-9d36-99f904062237,2026-05-25 13:49:46,5,chime is a good banking,0,5.327.0,Sharon Reap,,
Chime,dd80cb12-c502-4b37-8537-b74e710aa45f,2026-05-25 13:32:46,5,I've been b a member since2022 and I really like chime,0,5.327.0,Traci Gibson,,
Chime,daacd572-5452-412d-8fac-17e25dd940d9,2026-05-25 13:07:39,3,fix it not let me log in my account,0,5.327.0,ReálLöcälÖg FírêŠtønè,"Hey there, we know that technical difficulties can be quite frustrating. A quick fix is often just updating or reinstalling the app. If that doesn't work, try turning off your VPN or switching to a different device or network.

If you're still having trouble, give us a call at 1 (844) 244-6363 and we'll jump in to help!",2026-05-25 13:38:16
Chime,af9a1393-b748-4041-b3de-9f1d443909e9,2026-05-25 11:04:23,5,would recommend to a baby it's so nice.,0,5.327.0,Andrew Crank,,
Chime,fc7c9807-c9d5-487e-a272-f175cf7b34fb,2026-05-25 10:59:58,5,Chime has been there when I needed them. I have enjoyed banking with Chime.,0,5.326.1,Billy Bobby,,
Chime,17a6d9ba-557d-4863-86aa-bde95226db89,2026-05-25 10:34:25,1,changing banks as the mobile app on my phone doesn't work and hasn't worked for days. can access the account from my pc but not my phone. thank God I have another bank so I can change my direct deposit before the end of the month... called chime and still no one knows why I can't login or give a time frame,0,5.165.0,Halex Wade,"Hi Halex, we know how much of an inconvenience it is to have issues with the app. Try a fresh install, updating the app, or switching internet connections. Disabling your VPN. If you're still stuck, please reach out at 1 (844) 244-6363. Our team is ready to help you one-on-one.",2026-05-24 09:47:49
Chime,4dd1588f-a107-467e-bff6-94f2fec640c1,2026-05-25 10:01:55,5,Awesome,0,5.304.0,Shane Richey,,
Chime,f2375d58-9c10-4aef-9015-26d16261059a,2026-05-25 08:45:21,5,good,0,5.327.0,Quincy McShan,,
Chime,f6799565-c4f2-412f-96cf-03fad79deaa4,2026-05-25 07:33:42,5,Thank You!!!,0,5.326.1,Yvette Lopez,,
Chime,d43d1a90-345a-4280-8e93-c8758d64eec5,2026-05-25 07:02:40,5,love getting paid early and if I have a problem it's handled quickly and professionally. love these guys,0,5.327.0,Karen Jourdan,,
Chime,7c0405cf-1492-46f4-b2fd-96cfa8350014,2026-05-25 06:53:12,5,great banking app without the bank❤️,0,5.327.0,Anthony Coates,,
Chime,acd29e39-b5ab-4b8e-8e79-2a29bfc9d334,2026-05-25 05:24:20,1,Chime is a joke flat out! To many charges on my Chime that I have not used since 2023. I would not recommend using Chime way to many people hacking the accounts.,0,,Gaila Woodard,,
Chime,d0a15de6-dd06-4cdb-b431-6643acdcf188,2026-05-25 03:52:56,5,chime work's good no problems and very easy to navigate,0,5.327.0,Junior Bega,,
Chime,e919d969-c95a-444a-a8e7-719d48378b07,2026-05-25 03:47:06,5,love chime,0,5.327.0,Joe Reynolds,,
Chime,3ef373ae-ad1d-45c4-bf90-a12cd86cd6f8,2026-05-25 02:35:26,1,"This site supports scam artists! I talked to their support, and they take no responsibility. Highly recommended other payment apps.",0,5.326.1,Ivan Giesbrecht,,
Chime,a0dac83a-4b62-4fbd-adc8-26a237e511e7,2026-05-25 02:13:31,5,love it,0,5.327.0,Kizer Soze,,
Chime,14af763c-d8c4-43f8-ab2d-c4f75645025e,2026-05-25 02:10:23,1,doesn't let sign up again chime's🫠🥲🫠🥲🫠,0,,Rosa Sanchez,,
Chime,445d8770-bf2d-46f3-8b4e-eb706893a56e,2026-05-25 02:03:13,5,Let me start by stating the gratitude I have ever since signing up with chime. I went from a credit score of 525 to what I presently have which is 710. and I have to give that to chime for building it up by reporting to the 3 large credit bureaus. I would never have been able to do that on my own guaranteed. so now I'm planning on purchasing my own home or buying a new car. the possibilities are at my fingertips thanks to chime. I'd recommend them to anyone.,0,5.326.1,Vanessa Russell,,
Chime,a2e032eb-e2d4-4dc2-87a2-5d3b00f3cc20,2026-05-25 01:52:48,5,exceptional,0,5.327.0,Ishmael Hinton,,
Chime,2a852d34-1b6c-4cff-9661-bdca1c3d6a25,2026-05-25 01:39:05,5,OK,0,5.327.0,Jeremiah Watts,,
Chime,70c8a069-b438-4c28-bc21-8f6f20d9f5f4,2026-05-25 01:08:50,5,Great app use daily 👍,0,5.327.0,IKILLMOVES,,
Chime,45b03882-196e-42fc-8c49-b424006d680a,2026-05-25 01:06:05,5,"they came into my life at a much needed time, and I depend on them, cuz they always hold me down😁💙💪🏾💯 TY CHIME!! 😘",0,5.327.0,Lonya P,,
Chime,48960d51-8388-4201-beb1-a3608bedfd04,2026-05-25 00:47:20,1,"Automatically installed itself onto my phone after an update. Shady behavior from a ""banking"" app. I wouldn't trust them with a dollar.",0,5.327.0,bigjaw1999,,
Chime,1df0a58b-02fb-478a-8e4a-d4597ad33819,2026-05-25 00:37:40,5,great,0,5.327.0,Robert Wilson,,
Chime,3197ad36-fc14-49d2-afae-f04a61ce0b0d,2026-05-25 00:17:54,5,"I love chime, been a customer since 2019.",0,5.327.0,Melissa Smith,,
Chime,997d15a6-11f6-4f67-bc25-3b4e3a4e1be1,2026-05-25 00:16:30,5,Chime has made it very easy to open a checking and savings account with no money down and access to your money that I've never had before.!! I am 60 years old and I've never had a financial institute tell me so much about my money and I'm so grateful for everything they have done for me and my family.!!,0,5.327.0,Ray Finan,,
Chime,379affff-e882-4744-a52b-83fc4c26826a,2026-05-25 00:09:09,5,I. had. a. good. experience,0,5.327.0,Betty,,
Chime,5d1f924a-86a4-4eb2-ad60-ae91746c678d,2026-05-24 23:30:30,1,how can I get back in my account,0,,Kaharia West,"Hi Kaharia, we understand how important your account access is and want to help you resolve this as soon as possible. Please call 1-844-244-6363 so our team can assist you.",2026-05-24 23:57:08
Chime,53c25682-af58-4cf7-8c80-b779f8bd04e9,2026-05-24 23:20:13,5,"Easy, just what I want in a app.",0,5.327.0,Tracy Boehm,,
Chime,93cd546c-6aac-4b2b-99e7-7a405315b8c6,2026-05-24 22:43:06,5,Love it! used it for years and will continue to do so highly recommend!,0,5.327.0,Amy “Kitsune” Kinko,,
Chime,736001bc-937e-4395-8143-b3bcb84988ea,2026-05-24 22:21:03,3,hopefully you get the right person on the phone.,0,5.327.0,Mr. Hess,,
