app_name,review_id,date,rating,review_text,thumbs_up,app_version,user_name,developer_reply,reply_date
Venmo,75b943d8-1b5a-412a-88ce-2bdbf8a9bed0,2026-05-25 20:04:59,1,trash app,0,26.9.0,Mark Spicolli,,
Venmo,96088d7b-a90a-465c-83e9-2a9e7a114c86,2026-05-25 19:32:25,5,👍,0,26.9.0,Allen Fiack,,
Venmo,d7d37fb5-4ab0-4372-a947-947d4db388a5,2026-05-25 19:30:18,5,I have a small business and venmo has me collect money in a few different ways.,0,26.9.0,James Reid,,
Venmo,dcb927c7-81e6-4a89-85e7-f43c1aee17a2,2026-05-25 19:29:32,4,the only problem I've with them is that there is no overdraft protection. but they are better off than cash app,0,26.9.0,Robert Williams,,
Venmo,d221f892-2d8c-4ffe-b119-ec6d893875c7,2026-05-25 19:14:50,1,not good. no money on your account and card is lock they will take to money out of your bank account. not like cash app or credit card when card is lock. nothing will go through. I even having problems closing venmo account 🙃,0,26.4.1,Lance Pedescleaux,,
Venmo,86b33972-e047-4ee4-a432-611b14dc3cf6,2026-05-25 19:09:51,4,not thrilled with the public TL.,0,26.9.0,D. J.,"Hi, if you can't download the app, please contact us at app-reviews@venmo.com. We will help you resolve the issue. Thank you!",2021-12-21 00:26:06
Venmo,c9b68787-b9a5-4008-86dd-8d67c69a80f5,2026-05-25 19:09:39,5,perfect app,0,26.9.0,Flomzy Lomzy,,
Venmo,2fb056e9-ebcb-44a9-9632-3aeccb7bdb19,2026-05-25 19:00:33,4,absolutely outstanding,0,26.9.0,Matthew Thibeault,,
Venmo,42ba1a83-ecb8-4b33-a461-7167ceff1cbd,2026-05-25 18:57:43,5,love the ease of using this app,0,26.9.0,Mina McWhorter,,
Venmo,51c2e455-df32-4c5e-99ef-291ed1bf4b5b,2026-05-25 18:53:12,2,Completely buggy. there was never a need for this app. I have never had any of these problems with PayPal after 20+ years.,0,26.9.0,Brad Boykin,,
Venmo,845583f0-0cb5-4487-8c93-7e8a9f7a65e2,2026-05-25 18:31:20,5,I like venmo but if u have no bank account linked to venmo or direct deposit because there is no way to add actual paper money. this is the worst feature of Venmo.,0,26.9.0,Troy Mason,,
Venmo,26c461e9-f299-4832-8552-7f01a1d39fac,2026-05-25 18:26:32,1,this app is joke don't download it people,0,26.9.0,Rudy Rodriguez,,
Venmo,68b10a75-34d8-4eae-b74d-059840809805,2026-05-25 18:14:23,1,customer service is annoying and useless.,0,26.4.1,Trinh Nguyen,,
Venmo,d6b17106-c436-4f78-9464-00062b28c8f6,2026-05-25 17:53:58,5,love the app,0,,Will White,,
Venmo,309b40f8-a3ad-4ec8-82a5-a4aeabd01a4b,2026-05-25 17:51:37,5,Easy to use. Not intrusive like other payment apps.,0,26.9.0,Will Thompson,,
